amfi_code,Start_NAV,End_NAV,Start_Date,End_Date,CAGR_%
120505,133.1682,473.764,2022-01-04,2026-05-29,33.45958827818125
119598,88.5495,309.205,2022-01-04,2026-05-29,32.894605773800414
149324,80.8239,279.7511,2022-01-04,2026-05-29,32.628441876659366
148569,29.1038,97.7435,2022-01-04,2026-05-29,31.722135539074657
100033,105.9447,342.0072,2022-01-04,2026-05-29,30.542236377825116
148567,71.6085,230.2708,2022-01-04,2026-05-29,30.42732211074228
120843,50.8195,163.2397,2022-01-04,2026-05-29,30.39461719279344
149323,78.5,245.3651,2022-01-04,2026-05-29,29.58780141394928
119094,68.0566,203.8581,2022-01-04,2026-05-29,28.3394029726723
119551,54.3474,149.3216,2022-01-04,2026-05-29,25.842778201735307
118632,42.8033,110.5554,2022-01-04,2026-05-29,24.086306195259823
120504,59.4577,151.1311,2022-01-04,2026-05-29,23.635060111104124
101206,305.4514,773.2939,2022-01-04,2026-05-29,23.52224445905451
148568,85.4096,205.451,2022-01-04,2026-05-29,22.094488847980422
119552,57.348,137.7323,2022-01-04,2026-05-29,22.0507602674449
125497,560.7052,1204.9571,2022-01-04,2026-05-29,19.00360765866662
120503,55.6327,118.1496,2022-01-04,2026-05-29,18.6840366921996
102885,90.8724,187.7797,2022-01-04,2026-05-29,17.947628890539292
102887,189.0737,378.9657,2022-01-04,2026-05-29,17.132193088880943
120506,202.1501,404.4207,2022-01-04,2026-05-29,17.082557980818237
118633,46.491,91.601,2022-01-04,2026-05-29,16.67687441630381
118634,68.8538,134.6683,2022-01-04,2026-05-29,16.481890716922987
118635,168.6874,326.7508,2022-01-04,2026-05-29,16.225768849698884
149322,345.7198,606.2349,2022-01-04,2026-05-29,13.624916999277836
120841,276.8163,482.127,2022-01-04,2026-05-29,13.449705574319303
125498,117.0077,188.3619,2022-01-04,2026-05-29,11.43646562835492
101207,38.1545,53.9836,2022-01-04,2026-05-29,8.212421407702152
119093,41.8062,58.4203,2022-01-04,2026-05-29,7.9072430211071465
120507,285.882,388.5939,2022-01-04,2026-05-29,7.230489801750184
120844,3181.4042,4268.5497,2022-01-04,2026-05-29,6.913820264452619
119092,38.4924,50.8387,2022-01-04,2026-05-29,6.531433901087214
101208,310.6977,410.1021,2022-01-04,2026-05-29,6.516623775248709
120842,63.2031,82.6457,2022-01-04,2026-05-29,6.289725964436688
119120,42.2508,54.2038,2022-01-04,2026-05-29,5.8294572923307975
118636,30.2094,37.8243,2022-01-04,2026-05-29,5.2455061535798375
100025,26.2234,31.8843,2022-01-04,2026-05-29,4.545637646995426
100016,515.0971,583.6113,2022-01-04,2026-05-29,2.880836107497964
119599,94.6512,105.4849,2022-01-04,2026-05-29,2.495247580476656
119095,53.509,56.1319,2022-01-04,2026-05-29,1.0942892784174596
102886,120.6402,125.564,2022-01-04,2026-05-29,0.9139335082618771
