amfi_code,scheme_name,category,return_1yr_pct,std_dev_ann_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,risk_grade,recommendation_score,recommendation_rank,recommendation
118632,Nippon India Large Cap Fund - Regular - Growth,Large Cap,15.84,14.0,1.0,1.68,-16.07,Moderate,72.75,1,Top Pick
148567,Mirae Asset Large Cap Fund - Regular - Growth,Large Cap,15.12,14.0,1.06,1.66,-17.07,Moderate,69.125,2,Top Pick
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Value,16.67,15.0,0.98,1.5,-21.89,Moderately High,67.625,3,Top Pick
120507,ICICI Pru Liquid Fund - Regular - Growth,Liquid,8.89,0.5,7.68,10.37,-2.62,Low,65.0,4,Top Pick
120843,Kotak Flexicap Fund - Regular - Growth,Flexi Cap,15.74,16.0,0.98,1.57,-19.5,Moderately High,64.5,5,Top Pick
102887,UTI Flexi Cap Fund - Regular - Growth,Flexi Cap,17.43,16.0,0.96,1.37,-12.14,Moderately High,64.25,6,Strong Candidate
119598,SBI Small Cap Fund - Regular Plan - Growth,Small Cap,24.56,25.0,0.94,1.35,-13.35,Very High,61.5,7,Strong Candidate
119599,SBI Small Cap Fund - Direct Plan - Growth,Small Cap,20.59,25.0,0.93,1.67,-24.78,Very High,61.375,8,Strong Candidate
101208,ABSL Liquid Fund - Regular - Growth,Liquid,6.18,0.5,5.14,8.76,-3.66,Low,60.0,9,Strong Candidate
100025,HDFC Short Term Debt Fund - Regular - Growth,Short Duration,6.83,4.0,1.84,2.79,-6.01,Low,59.5,10,Strong Candidate
101207,ABSL Small Cap Fund - Regular - Growth,Small Cap,24.93,25.0,0.9,1.47,-23.61,Very High,59.375,11,Strong Candidate
120844,Kotak Liquid Fund - Regular - Growth,Liquid,4.26,0.5,6.18,9.7,-3.81,Low,59.0,12,Strong Candidate
120842,Kotak Emerging Equity Fund - Regular - Growth,Mid Cap,17.12,19.0,0.96,1.27,-21.92,High,58.625,13,Strong Candidate
101206,ABSL Frontline Equity Fund - Regular - Growth,Large Cap,14.82,14.0,0.98,1.25,-15.07,Moderate,57.125,14,Strong Candidate
118636,Nippon India Gilt Securities Fund - Regular - Growth,Gilt,6.19,4.0,1.33,2.38,-2.23,Low,56.75,15,Strong Candidate
120504,ICICI Pru Bluechip Fund - Direct - Growth,Large Cap,14.12,14.0,1.03,1.27,-26.59,Moderate,56.375,16,Watchlist
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Gilt,5.34,4.0,1.52,2.11,-2.3,Low,55.25,17,Watchlist
100016,HDFC Top 100 Fund - Regular Plan - Growth,Large Cap,10.94,14.0,1.06,1.7,-17.41,Moderate,53.875,18,Watchlist
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Large & Mid Cap,14.91,16.0,0.91,1.55,-33.15,Moderately High,51.375,19,Watchlist
119095,Axis Small Cap Fund - Regular - Growth,Small Cap,21.97,25.0,0.84,1.4,-14.45,Very High,50.75,20,Watchlist
102885,UTI Nifty 50 Index Fund - Regular - Growth,Index,13.76,13.0,0.93,1.29,-24.42,Moderate,49.625,21,Watchlist
118633,Nippon India Large Cap Fund - Direct - Growth,Large Cap,14.42,14.0,0.88,1.48,-18.14,Moderate,49.125,22,Watchlist
125497,HDFC Top 100 Fund - Direct Plan - Growth,Large Cap,11.48,14.0,0.96,1.45,-33.5,Moderate,47.125,23,Watchlist
149322,DSP Top 100 Equity Fund - Regular - Growth,Large Cap,11.96,14.0,0.92,1.63,-21.7,Moderate,46.75,24,Watchlist
120503,ICICI Pru Bluechip Fund - Regular - Growth,Large Cap,15.63,14.0,0.82,1.12,-25.91,Moderate,45.375,25,Watchlist
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Mid Cap,19.98,19.0,0.8,1.38,-32.22,High,44.875,26,Watchlist
119552,SBI Bluechip Fund - Direct Plan - Growth,Large Cap,15.25,14.0,0.81,1.29,-24.43,Moderate,44.625,27,Watchlist
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Mid Cap,15.43,19.0,0.87,1.44,-13.67,High,44.5,28,Watchlist
120841,Kotak Bluechip Fund - Regular - Growth,Large Cap,14.37,14.0,0.87,1.34,-17.86,Moderate,44.0,29,Watchlist
120505,ICICI Pru Midcap Fund - Regular - Growth,Mid Cap,14.02,19.0,0.95,1.45,-21.84,High,43.875,30,Watchlist
118634,Nippon India Small Cap Fund - Regular - Growth,Small Cap,21.3,25.0,0.81,1.14,-30.87,Very High,43.125,31,Watchlist
119093,Axis Bluechip Fund - Direct - Growth,Large Cap,13.95,14.0,0.87,1.54,-17.4,Moderate,43.0,32,Watchlist
102886,UTI Mid Cap Fund - Regular - Growth,Mid Cap,16.3,19.0,0.82,1.21,-13.43,High,41.375,33,Watchlist
149323,DSP Midcap Fund - Regular - Growth,Mid Cap,14.12,19.0,0.9,1.5,-26.99,High,40.75,34,Watchlist
149324,DSP Small Cap Fund - Regular - Growth,Small Cap,20.2,25.0,0.8,1.23,-17.01,Very High,39.625,35,Watchlist
119551,SBI Bluechip Fund - Regular Plan - Growth,Large Cap,12.42,14.0,0.88,1.29,-21.7,Moderate,39.375,36,Watchlist
118635,Nippon India ETF Nifty 50 BeES,Index/ETF,10.14,13.0,0.91,1.24,-26.75,Moderate,38.875,37,Watchlist
119092,Axis Bluechip Fund - Regular - Growth,Large Cap,11.82,14.0,0.85,1.25,-27.54,Moderate,32.875,38,Watchlist
119094,Axis Midcap Fund - Regular - Growth,Mid Cap,14.88,19.0,0.8,1.18,-32.38,High,29.375,39,Watchlist
148569,Mirae Asset Tax Saver Fund - Regular - Growth,ELSS,11.16,17.0,0.8,1.03,-22.62,High,17.625,40,Watchlist
