amfi_code,Maximum_Drawdown_%
120507,-0.09773140045925681
120844,-0.11629327956168764
101208,-0.16224980244717319
100025,-4.308263824636346
119120,-4.328728923970098
118636,-8.316361763638701
102885,-10.859862152502323
148567,-11.26572907502827
101206,-11.291596329323077
118635,-11.511457598975513
119552,-11.8034935027643
120504,-12.588275606922513
120843,-12.97396816518679
120503,-13.897862823061635
149322,-14.111986534883119
119092,-14.401617909337267
119551,-15.012385498645333
125497,-15.200013055606393
148568,-15.27259422823477
100033,-16.21720857464485
148569,-16.396742946932633
149323,-17.24810575345138
118632,-17.41407508665723
120841,-17.573614164687285
120505,-18.188513572116292
118633,-18.629743138595508
120506,-19.82565826298267
119094,-20.960883862039193
125498,-21.117279560132122
102887,-21.28539887479686
119093,-21.75139637014823
118634,-23.34488614483311
120842,-24.003511326274882
100016,-24.7344408806733
102886,-28.00112356639287
119598,-28.706005721764555
149324,-31.17190030063422
101207,-35.44691649336603
119095,-51.67775370852657
119599,-52.574221170128496
