state,total_amount,average_amount,transactions
Punjab,315780459,106502.68431703204,2965
Tamil Nadu,315177237,112322.60762651461,2806
Madhya Pradesh,308312493,105190.20573183215,2931
Rajasthan,298645822,115888.94916569654,2577
Gujarat,298358940,107323.35971223022,2780
West Bengal,297182514,108145.01965065503,2748
Telangana,290219284,106776.77851361295,2718
Delhi,289633404,108193.2775494957,2677
Uttar Pradesh,285368873,105888.26456400742,2695
Haryana,279634354,102205.53874269006,2736
Karnataka,273753570,104446.2304463945,2621
Maharashtra,269513480,106780.30110935024,2524
